size,threads,time_seconds,arithmetic_operations
200,1,0.0056947,16000000
200,2,0.0030963,16000000
200,4,0.0020826,16000000
200,8,0.0015525,16000000
400,1,0.0512235,128000000
400,2,0.0248884,128000000
400,4,0.0153923,128000000
400,8,0.0119383,128000000
800,1,0.408914,1024000000
800,2,0.208056,1024000000
800,4,0.134099,1024000000
800,8,0.0979213,1024000000
1200,1,2.10743,3456000000
1200,2,0.784701,3456000000
1200,4,0.416107,3456000000
1200,8,0.295916,3456000000
1600,1,8.98177,8192000000
1600,2,5.96225,8192000000
1600,4,3.51139,8192000000
1600,8,1.80872,8192000000
2000,1,26.8898,16000000000
2000,2,14.525,16000000000
2000,4,7.03582,16000000000
2000,8,4.82892,16000000000
